company,timestamp,numberOfRecipients,numberOfCCs,numberOfBCCs,recipientType,lengthOfThread,responseTime,titleTone,titleLength,messageTone,messageLength,recipientRoleLevel,employeeID
InspireTech Inc.,2024-11-02T18:00:00,4,1,2,internal,6,3408,neutral,10,funny,20,same,E001
InspireTech Inc.,2024-11-01T20:00:00,3,1,0,internal,1,1170,neutral,5,invitation,10,same,E001
InspireTech Inc.,2024-11-01T12:00:00,2,0,0,external,7,1458,neutral,15,aggressive,50,same,E001
InspireTech Inc.,2024-11-01T01:00:00,6,1,2,internal,9,2361,neutral,20,threatening,60,same,E001
InspireTech Inc.,2024-11-02T11:00:00,3,1,0,internal,8,1788,neutral,5,neutral,200,same,E001
InspireTech Inc.,2024-11-01T15:00:00,6,0,0,external,7,3079,neutral,15,funny,40,same,E001
InspireTech Inc.,2024-11-01T09:00:00,2,0,0,internal,5,6979,negative,10,neutral,60,same,E001
InspireTech Inc.,2024-11-02T16:00:00,10,2,0,internal,4,6751,negative,10,threatening,70,same,E001
InspireTech Inc.,2024-11-02T14:00:00,1,0,0,internal,4,3030,negative,10,invitation,140,same,E001
InspireTech Inc.,2024-11-02T11:00:00,9,5,1,internal,8,5381,positive,20,concerned,130,same,E001
InspireTech Inc.,2024-11-01T04:00:00,5,1,3,external,5,1612,positive,5,concerned,80,same,E001
InspireTech Inc.,2024-11-01T15:00:00,9,3,2,external,8,6726,neutral,10,serious,170,same,E001
InspireTech Inc.,2024-11-02T00:00:00,5,2,0,external,2,4825,neutral,20,serious,200,same,E001
InspireTech Inc.,2024-11-01T16:00:00,7,2,0,internal,3,1430,negative,10,funny,180,same,E001
InspireTech Inc.,2024-11-01T20:00:00,5,4,0,external,8,3798,negative,10,informative,140,same,E001
InspireTech Inc.,2024-11-02T01:00:00,1,0,0,internal,8,1366,positive,10,informative,20,same,E001
InspireTech Inc.,2024-11-01T00:00:00,6,5,0,internal,1,2598,neutral,20,informative,90,same,E001
InspireTech Inc.,2024-11-02T22:00:00,3,1,0,external,10,4843,positive,20,invitation,200,same,E001
InspireTech Inc.,2024-11-02T22:00:00,10,3,3,internal,9,3005,neutral,20,informative,130,same,E001
InspireTech Inc.,2024-11-02T14:00:00,4,3,0,internal,4,5456,neutral,15,aggressive,40,same,E001
InspireTech Inc.,2024-11-01T19:00:00,1,0,0,internal,7,1775,positive,5,funny,150,same,E001
InspireTech Inc.,2024-11-02T20:00:00,4,1,2,external,10,1628,negative,15,threatening,80,same,E001
InspireTech Inc.,2024-11-02T23:00:00,6,2,1,external,1,5068,negative,5,neutral,50,same,E001
InspireTech Inc.,2024-11-02T09:00:00,9,5,0,external,7,362,negative,10,neutral,40,same,E001
InspireTech Inc.,2024-11-01T07:00:00,3,1,1,external,7,1991,positive,5,threatening,180,same,E001
InspireTech Inc.,2024-11-02T10:00:00,9,3,1,internal,10,2096,negative,15,neutral,40,same,E001
InspireTech Inc.,2024-11-02T04:00:00,6,5,0,internal,4,6176,negative,20,funny,30,same,E001
InspireTech Inc.,2024-11-01T05:00:00,9,2,0,internal,6,2078,negative,10,serious,180,same,E001
InspireTech Inc.,2024-11-01T13:00:00,2,0,1,external,7,3675,positive,20,neutral,90,same,E001
InspireTech Inc.,2024-11-02T16:00:00,10,4,0,internal,4,5310,negative,20,aggressive,130,same,E001
InspireTech Inc.,2024-11-01T17:00:00,5,4,0,external,7,2720,negative,20,threatening,90,same,E001
InspireTech Inc.,2024-11-02T17:00:00,6,2,1,external,7,469,positive,5,concerned,20,same,E001
InspireTech Inc.,2024-11-02T15:00:00,8,4,2,internal,5,242,neutral,20,threatening,80,same,E001
InspireTech Inc.,2024-11-02T17:00:00,9,3,3,internal,5,2151,positive,5,serious,200,same,E001
InspireTech Inc.,2024-11-01T14:00:00,10,4,3,external,2,5290,positive,20,aggressive,130,same,E001
InspireTech Inc.,2024-11-02T01:00:00,6,2,1,external,5,620,negative,10,concerned,70,same,E001
InspireTech Inc.,2024-11-01T04:00:00,2,0,0,external,1,1749,negative,20,aggressive,120,same,E001
InspireTech Inc.,2024-11-01T09:00:00,6,5,0,external,6,4743,negative,15,funny,200,same,E001
InspireTech Inc.,2024-11-01T15:00:00,4,0,0,external,1,959,neutral,20,aggressive,90,same,E001
InspireTech Inc.,2024-11-01T15:00:00,5,2,2,external,7,811,neutral,5,concerned,190,same,E001
InspireTech Inc.,2024-11-01T22:00:00,4,3,0,internal,5,5928,neutral,10,serious,110,same,E001
InspireTech Inc.,2024-11-01T16:00:00,5,0,3,internal,8,3059,negative,20,funny,130,same,E001
InspireTech Inc.,2024-11-02T20:00:00,6,0,2,internal,6,946,negative,5,informative,60,same,E001
InspireTech Inc.,2024-11-02T18:00:00,7,0,3,external,5,2783,negative,20,invitation,140,same,E001
InspireTech Inc.,2024-11-01T15:00:00,1,0,0,internal,6,4272,negative,10,serious,120,same,E001
InspireTech Inc.,2024-11-01T00:00:00,6,4,1,external,3,6672,neutral,15,informative,190,same,E001
InspireTech Inc.,2024-11-02T10:00:00,6,3,1,internal,6,5178,negative,20,informative,200,same,E001
InspireTech Inc.,2024-11-02T12:00:00,8,0,2,internal,9,5433,negative,20,concerned,200,same,E001
InspireTech Inc.,2024-11-02T23:00:00,9,4,0,internal,4,4860,positive,15,informative,200,same,E001
InspireTech Inc.,2024-11-01T13:00:00,7,1,0,internal,9,2286,positive,10,informative,110,same,E001
InspireTech Inc.,2024-11-01T14:00:00,4,1,1,external,9,6262,positive,20,funny,110,same,E001
InspireTech Inc.,2024-11-02T20:00:00,2,0,1,external,5,2068,negative,5,funny,140,same,E001
InspireTech Inc.,2024-11-01T08:00:00,1,0,0,internal,7,4836,positive,10,funny,40,same,E001
InspireTech Inc.,2024-11-01T17:00:00,8,4,0,internal,1,433,positive,10,invitation,50,same,E001
InspireTech Inc.,2024-11-01T09:00:00,8,3,2,internal,7,5019,neutral,15,concerned,40,same,E001
InspireTech Inc.,2024-11-01T22:00:00,2,0,0,internal,4,4163,positive,10,invitation,110,same,E001
InspireTech Inc.,2024-11-01T20:00:00,4,0,2,external,4,4593,neutral,20,funny,20,same,E001
InspireTech Inc.,2024-11-02T01:00:00,8,2,3,external,9,1717,neutral,10,serious,30,same,E001
InspireTech Inc.,2024-11-01T07:00:00,9,5,3,external,5,4707,positive,20,serious,60,same,E001
InspireTech Inc.,2024-11-01T02:00:00,10,2,1,external,5,3945,neutral,10,informative,140,same,E001
InspireTech Inc.,2024-11-01T04:00:00,2,1,0,internal,5,2707,neutral,20,informative,10,same,E001
InspireTech Inc.,2024-11-01T17:00:00,4,3,0,internal,2,6968,neutral,20,serious,110,same,E001
InspireTech Inc.,2024-11-01T03:00:00,6,5,0,external,3,3474,negative,10,aggressive,110,same,E001
InspireTech Inc.,2024-11-01T23:00:00,3,2,0,internal,6,5252,neutral,10,funny,100,same,E001
InspireTech Inc.,2024-11-01T18:00:00,3,0,1,internal,8,441,negative,10,threatening,170,same,E001
InspireTech Inc.,2024-11-01T19:00:00,5,2,2,external,5,5734,negative,20,informative,90,same,E001
InspireTech Inc.,2024-11-02T05:00:00,10,3,2,internal,2,1496,negative,15,neutral,60,same,E001
InspireTech Inc.,2024-11-02T11:00:00,6,3,2,internal,9,7040,positive,5,informative,200,same,E001
InspireTech Inc.,2024-11-01T04:00:00,7,4,1,external,6,5744,negative,10,threatening,80,above,E002
InspireTech Inc.,2024-11-01T13:00:00,10,3,1,internal,9,3308,positive,10,serious,140,above,E002
InspireTech Inc.,2024-11-01T09:00:00,1,0,0,internal,2,4003,negative,5,serious,30,above,E002
InspireTech Inc.,2024-11-02T15:00:00,5,1,2,internal,4,6269,neutral,15,funny,130,above,E002
InspireTech Inc.,2024-11-01T04:00:00,8,1,1,internal,8,1710,positive,5,informative,40,above,E002
InspireTech Inc.,2024-11-01T22:00:00,10,3,2,internal,7,1995,negative,5,informative,120,above,E002
InspireTech Inc.,2024-11-01T12:00:00,10,3,3,external,9,1081,negative,20,invitation,150,above,E002
InspireTech Inc.,2024-11-01T07:00:00,7,4,0,external,5,5385,neutral,20,concerned,200,above,E002
InspireTech Inc.,2024-11-01T14:00:00,9,0,3,internal,1,5660,positive,5,threatening,70,above,E002
InspireTech Inc.,2024-11-01T23:00:00,7,1,1,external,5,5147,positive,20,aggressive,160,above,E002
InspireTech Inc.,2024-11-01T01:00:00,9,4,2,internal,1,6777,neutral,5,threatening,20,above,E002
InspireTech Inc.,2024-11-02T23:00:00,10,1,2,internal,4,1747,negative,15,neutral,180,above,E002
InspireTech Inc.,2024-11-02T17:00:00,10,5,1,external,3,1359,neutral,10,threatening,10,above,E002
InspireTech Inc.,2024-11-02T05:00:00,5,0,3,external,4,5421,negative,20,informative,60,above,E002
InspireTech Inc.,2024-11-02T09:00:00,5,1,1,external,1,2980,negative,5,invitation,160,above,E002
InspireTech Inc.,2024-11-01T15:00:00,7,5,0,internal,9,4088,neutral,15,threatening,190,above,E002
InspireTech Inc.,2024-11-02T13:00:00,2,1,0,internal,7,4207,negative,15,invitation,190,above,E002
InspireTech Inc.,2024-11-01T05:00:00,10,5,3,internal,9,1979,positive,10,concerned,130,above,E002
InspireTech Inc.,2024-11-02T14:00:00,5,2,0,internal,2,1675,neutral,10,funny,20,above,E002
InspireTech Inc.,2024-11-01T09:00:00,1,0,0,internal,9,840,positive,10,threatening,170,above,E002
InspireTech Inc.,2024-11-01T19:00:00,2,0,0,internal,8,706,positive,10,funny,150,above,E002
InspireTech Inc.,2024-11-02T00:00:00,7,4,0,internal,9,3418,neutral,15,informative,150,above,E002
InspireTech Inc.,2024-11-02T03:00:00,10,1,3,internal,2,6000,positive,20,funny,140,above,E002
InspireTech Inc.,2024-11-01T20:00:00,7,2,0,external,8,2359,negative,10,concerned,130,above,E002
InspireTech Inc.,2024-11-02T09:00:00,4,1,0,external,1,3248,negative,5,concerned,150,above,E002
InspireTech Inc.,2024-11-01T06:00:00,8,1,1,external,7,6731,neutral,10,invitation,110,above,E002
InspireTech Inc.,2024-11-02T08:00:00,2,1,0,internal,6,5532,positive,10,concerned,150,above,E002
InspireTech Inc.,2024-11-01T10:00:00,2,0,0,internal,9,316,negative,5,threatening,120,above,E002
InspireTech Inc.,2024-11-02T01:00:00,2,0,0,external,1,1110,neutral,15,serious,150,above,E002
InspireTech Inc.,2024-11-02T05:00:00,9,3,2,external,5,3052,positive,10,serious,50,above,E002
InspireTech Inc.,2024-11-02T07:00:00,1,0,0,external,5,6696,positive,15,threatening,30,above,E002
InspireTech Inc.,2024-11-01T08:00:00,6,3,1,external,5,4959,neutral,15,informative,140,above,E002
InspireTech Inc.,2024-11-02T18:00:00,4,0,0,external,2,3614,neutral,5,funny,10,above,E002
InspireTech Inc.,2024-11-01T17:00:00,8,5,0,internal,8,6204,neutral,15,neutral,190,above,E002
InspireTech Inc.,2024-11-02T01:00:00,9,0,1,external,10,4081,neutral,10,invitation,150,above,E002
InspireTech Inc.,2024-11-01T12:00:00,4,1,0,internal,4,4474,neutral,5,concerned,50,above,E002
InspireTech Inc.,2024-11-02T15:00:00,9,1,2,external,3,5063,negative,5,funny,90,above,E002
InspireTech Inc.,2024-11-01T02:00:00,3,0,2,internal,4,1644,negative,5,threatening,100,above,E002
InspireTech Inc.,2024-11-02T02:00:00,2,0,1,internal,1,5490,neutral,5,concerned,190,above,E002
InspireTech Inc.,2024-11-01T18:00:00,9,2,0,internal,7,4268,positive,10,neutral,30,above,E002
InspireTech Inc.,2024-11-01T15:00:00,10,3,2,internal,1,1216,negative,15,funny,30,above,E002
InspireTech Inc.,2024-11-02T21:00:00,3,2,0,external,1,6027,positive,15,serious,50,above,E002
InspireTech Inc.,2024-11-03T00:00:00,9,5,1,internal,10,4233,neutral,5,aggressive,160,above,E002
InspireTech Inc.,2024-11-02T21:00:00,3,0,0,external,4,1446,negative,10,concerned,40,above,E002
InspireTech Inc.,2024-11-01T06:00:00,8,5,1,external,9,5470,neutral,10,aggressive,180,above,E002
InspireTech Inc.,2024-11-01T15:00:00,10,1,2,internal,10,6609,neutral,5,aggressive,170,above,E002
InspireTech Inc.,2024-11-02T15:00:00,10,0,1,external,1,6797,negative,20,neutral,160,above,E002
InspireTech Inc.,2024-11-01T14:00:00,10,5,1,external,8,4732,negative,5,funny,110,above,E002
InspireTech Inc.,2024-11-02T06:00:00,10,4,2,internal,1,2567,positive,10,funny,70,above,E002
InspireTech Inc.,2024-11-01T09:00:00,2,1,0,external,6,5959,neutral,15,informative,20,above,E002
InspireTech Inc.,2024-11-02T01:00:00,2,0,0,internal,1,6685,neutral,10,serious,40,above,E002
InspireTech Inc.,2024-11-02T03:00:00,5,1,1,internal,9,4030,negative,10,informative,120,above,E002
InspireTech Inc.,2024-11-01T01:00:00,10,0,1,internal,7,1126,negative,15,informative,110,above,E002
InspireTech Inc.,2024-11-01T04:00:00,10,2,1,internal,10,4845,negative,5,invitation,130,above,E002
InspireTech Inc.,2024-11-01T18:00:00,10,2,0,external,10,89,positive,20,serious,140,above,E002
InspireTech Inc.,2024-11-02T12:00:00,2,1,0,external,7,1866,negative,5,threatening,30,above,E002
InspireTech Inc.,2024-11-02T04:00:00,7,1,1,external,4,4675,positive,20,threatening,130,above,E002
InspireTech Inc.,2024-11-02T22:00:00,6,5,0,external,7,6357,neutral,15,neutral,180,above,E002
InspireTech Inc.,2024-11-01T18:00:00,5,3,0,external,2,6042,neutral,5,neutral,100,above,E002
InspireTech Inc.,2024-11-02T08:00:00,2,1,0,internal,1,1410,positive,20,informative,130,above,E002
InspireTech Inc.,2024-11-02T22:00:00,4,3,0,external,9,5753,negative,10,informative,200,above,E002
InspireTech Inc.,2024-11-01T07:00:00,3,0,2,internal,6,7048,positive,20,aggressive,200,above,E002
InspireTech Inc.,2024-11-01T18:00:00,7,5,1,external,8,5964,positive,15,invitation,160,above,E002
InspireTech Inc.,2024-11-01T15:00:00,5,3,1,internal,9,5487,neutral,5,serious,60,above,E002
InspireTech Inc.,2024-11-02T06:00:00,8,1,2,internal,9,3418,negative,10,serious,90,above,E002
InspireTech Inc.,2024-11-02T21:00:00,10,3,1,external,1,517,negative,20,invitation,50,above,E002
InspireTech Inc.,2024-11-02T22:00:00,2,1,0,internal,8,5182,neutral,5,informative,60,above,E002
InspireTech Inc.,2024-11-01T08:00:00,3,0,2,external,2,6487,neutral,10,concerned,110,above,E002
InspireTech Inc.,2024-11-02T01:00:00,4,0,0,internal,6,3120,neutral,5,aggressive,60,above,E002
InspireTech Inc.,2024-11-01T10:00:00,2,1,0,external,5,5466,neutral,15,informative,30,above,E002
InspireTech Inc.,2024-11-02T17:00:00,1,0,0,internal,2,6752,negative,5,invitation,160,above,E002
InspireTech Inc.,2024-11-01T22:00:00,9,5,1,internal,7,5263,neutral,20,concerned,70,above,E002
InspireTech Inc.,2024-11-01T02:00:00,1,0,0,internal,8,5400,neutral,20,threatening,110,above,E002
InspireTech Inc.,2024-11-01T02:00:00,7,3,1,internal,1,5269,positive,5,threatening,190,above,E002
InspireTech Inc.,2024-11-02T07:00:00,3,2,0,external,1,782,negative,5,neutral,200,above,E002
InspireTech Inc.,2024-11-01T21:00:00,6,5,0,external,2,6913,neutral,10,informative,120,above,E002
InspireTech Inc.,2024-11-01T02:00:00,1,0,0,external,2,986,positive,5,invitation,120,above,E002
InspireTech Inc.,2024-11-02T16:00:00,9,1,1,internal,8,6667,positive,20,invitation,10,above,E002
InspireTech Inc.,2024-11-01T03:00:00,4,1,2,external,4,2030,positive,15,aggressive,40,above,E002
InspireTech Inc.,2024-11-01T13:00:00,3,0,1,external,8,2320,positive,10,invitation,90,above,E002
InspireTech Inc.,2024-11-01T05:00:00,10,4,3,internal,9,7066,positive,5,threatening,120,above,E002
InspireTech Inc.,2024-11-02T13:00:00,2,0,1,external,9,2437,negative,20,informative,160,above,E002
InspireTech Inc.,2024-11-01T11:00:00,2,1,0,external,2,799,negative,15,invitation,100,above,E002
InspireTech Inc.,2024-11-01T05:00:00,9,2,2,internal,2,280,negative,20,threatening,80,above,E002
InspireTech Inc.,2024-11-02T01:00:00,1,0,0,internal,8,1926,positive,20,aggressive,180,above,E002
InspireTech Inc.,2024-11-01T11:00:00,8,0,0,internal,2,5572,neutral,5,informative,130,above,E002
InspireTech Inc.,2024-11-02T14:00:00,5,3,0,external,6,6669,positive,5,informative,170,above,E002
InspireTech Inc.,2024-11-02T18:00:00,4,0,2,external,7,4376,negative,15,aggressive,70,above,E002
InspireTech Inc.,2024-11-01T11:00:00,1,0,0,internal,1,1940,negative,20,funny,30,above,E002
InspireTech Inc.,2024-11-02T06:00:00,3,1,1,external,2,5206,positive,5,invitation,200,above,E002
